posture family x DR k break points (j2, cont 40 / peak 120):
       posture   tau0       I | ramp_s rest_s | k_rms@cont40 k_peak@120 | k=1.2 RMS/peak
 extended-phi0   3.40  0.1215 |   0.02    0.2 |         2.21       4.84 |   21.9 /   29.1 Nm
 extended-phi0   3.40  0.1215 |   0.02    1.0 |         2.41       4.84 |   20.2 /   29.1 Nm
 extended-phi0   3.40  0.1215 |   0.10    0.2 |         8.00      11.74 |    7.2 /   11.6 Nm
 extended-phi0   3.40  0.1215 |   0.10    1.0 |         8.36      11.74 |    6.8 /   11.6 Nm
 extended-phi0   3.40  0.1215 |   0.30    0.2 |        10.76      15.40 |    6.0 /    8.7 Nm
 extended-phi0   3.40  0.1215 |   0.30    1.0 |        10.89      15.40 |    5.7 /    8.7 Nm
     mid-phi45   2.98  0.0877 |   0.02    0.2 |         3.05       6.53 |   16.0 /   21.6 Nm
     mid-phi45   2.98  0.0877 |   0.02    1.0 |         3.31       6.53 |   14.7 /   21.6 Nm
     mid-phi45   2.98  0.0877 |   0.10    0.2 |        10.06      15.26 |    5.7 /    9.0 Nm
     mid-phi45   2.98  0.0877 |   0.10    1.0 |        10.43      15.26 |    5.4 /    9.0 Nm
     mid-phi45   2.98  0.0877 |   0.30    0.2 |        12.64      19.64 |    4.9 /    6.9 Nm
     mid-phi45   2.98  0.0877 |   0.30    1.0 |        12.75      19.64 |    4.7 /    6.9 Nm
  folded-phi90   1.94  0.0316 |   0.02    0.2 |         8.03      16.16 |    6.1 /    8.8 Nm
  folded-phi90   1.94  0.0316 |   0.02    1.0 |         8.62      16.16 |    5.7 /    8.8 Nm
  folded-phi90   1.94  0.0316 |   0.10    0.2 |        18.52      33.02 |    2.9 /    4.2 Nm
  folded-phi90   1.94  0.0316 |   0.10    1.0 |        18.80      33.02 |    2.8 /    4.2 Nm
  folded-phi90   1.94  0.0316 |   0.30    0.2 |        20.19      39.98 |    2.7 /    3.5 Nm
  folded-phi90   1.94  0.0316 |   0.30    1.0 |        20.25      39.98 |    2.7 /    3.5 Nm

WORST-RMS-BREAK: posture=('extended-phi0', 0.02, 0.2) k=2.21  (realistic DR k=1.2: not broken)
